year,name,n
2017,Sambit Datta,0.00500665
2018,Sambit Datta,0.004632867
2019,Sambit Datta,0.003967631
2020,Sambit Datta,0.003740836
2021,Sambit Datta,0.005001792
2022,Sambit Datta,0.004813618
2004,Ramesh Krishnamurti,8.17896E-06
2005,Ramesh Krishnamurti,3.01932E-05
2006,Ramesh Krishnamurti,4.723E-05
2007,Ramesh Krishnamurti,8.45425E-05
2008,Ramesh Krishnamurti,0.007102541
2009,Ramesh Krishnamurti,0.007069343
2010,Ramesh Krishnamurti,0.011325866
2011,Ramesh Krishnamurti,0.011355894
2012,Ramesh Krishnamurti,0.010684624
2013,Ramesh Krishnamurti,0.009524583
2014,Ramesh Krishnamurti,0.008234646
2015,Ramesh Krishnamurti,0.007621058
2016,Ramesh Krishnamurti,0.007204916
2017,Ramesh Krishnamurti,0.006493932
2018,Ramesh Krishnamurti,0.005793917
2019,Ramesh Krishnamurti,0.007175922
2020,Ramesh Krishnamurti,0.007098791
2021,Ramesh Krishnamurti,0.00774121
2022,Ramesh Krishnamurti,0.008668374
2014,Frank Petzold,1.29662E-05
2015,Frank Petzold,1.1566E-05
2016,Frank Petzold,1.33454E-05
2017,Frank Petzold,1.10452E-05
2018,Frank Petzold,3.9137E-05
2019,Frank Petzold,4.33113E-05
2020,Frank Petzold,3.53735E-05
2021,Frank Petzold,0.006272636
2022,Frank Petzold,0.009028377
2005,Andre Brown,3.01932E-06
2006,Andre Brown,6.44045E-06
2007,Andre Brown,5.2839E-06
2008,Andre Brown,4.29762E-06
2009,Andre Brown,7.28548E-06
2010,Andre Brown,6.44981E-06
2011,Andre Brown,1.4893E-05
2012,Andre Brown,1.30919E-05
2013,Andre Brown,1.08295E-05
2014,Andre Brown,8.64416E-06
2015,Andre Brown,7.71069E-06
2016,Andre Brown,6.47051E-06
2017,Andre Brown,5.35527E-06
2018,Andre Brown,4.37896E-06
2019,Andre Brown,5.95442E-06
2020,Andre Brown,0.0023856
2021,Andre Brown,0.00259751
2022,Andre Brown,0.002546486
2001,Jin-Won Choi,1.4101E-05
2002,Jin-Won Choi,1.06699E-05
2003,Jin-Won Choi,0.005339872
2004,Jin-Won Choi,0.03557573
2005,Jin-Won Choi,0.041643519
2006,Jin-Won Choi,0.046732617
2007,Jin-Won Choi,0.042227788
2008,Jin-Won Choi,0.044443649
2009,Jin-Won Choi,0.060746729
2010,Jin-Won Choi,0.094404073
2011,Jin-Won Choi,0.110679318
2012,Jin-Won Choi,0.11070208
2013,Jin-Won Choi,0.105031902
2014,Jin-Won Choi,0.095989523
2015,Jin-Won Choi,0.09178754
2016,Jin-Won Choi,0.095458417
2017,Jin-Won Choi,0.089196136
2018,Jin-Won Choi,0.083896612
2019,Jin-Won Choi,0.076032156
2020,Jin-Won Choi,0.072215564
2021,Jin-Won Choi,0.004439819
